lst,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0
0,4.867,5.468,5.789,6.232,6.437,6.724,7.007,7.674,7.695,8.164,8.501,8.967,9.629,9.975,9.986,10.352,10.764,10.993,11.598,11.451,11.985,12.248,12.697,12.891,12.938,12.912,13.042,13.482,13.784,13.557,13.689,13.898,14.151,14.191,13.996,13.825,14.203,13.658,13.739,13.196,13.428,12.999,12.636,12.301,11.398,10.947,10.308,9.424,8.65,7.704,6.418
1,4.622,5.436,5.703,5.995,6.379,6.498,6.919,7.319,7.354,7.81,8.314,8.528,8.92,8.931,9.387,9.879,10.136,10.288,10.724,10.98,11.335,11.687,11.949,12.091,11.969,11.881,12.512,12.62,12.978,12.749,13.3,13.235,13.39,13.059,13.541,13.122,13.058,12.877,12.961,12.807,12.389,12.216,12.013,11.273,10.863,10.365,9.882,9.037,8.046,6.957,6.161
2,4.763,5.265,5.862,6.097,6.223,6.575,6.802,7.146,7.459,7.841,7.815,8.416,9.056,8.942,9.289,9.686,10.084,10.427,10.473,10.62,10.843,11.163,11.517,11.493,11.748,12.055,11.963,12.255,12.293,12.489,12.278,12.587,12.876,13.189,12.522,12.786,12.754,12.507,12.483,12.514,12.44,11.557,11.158,11.206,10.447,9.961,9.465,8.324,7.772,6.819,5.797
3,4.742,5.319,5.712,6.133,6.159,6.395,6.951,7.299,7.505,7.644,8.215,8.55,8.807,8.959,9.726,9.526,10.147,10.186,10.423,10.429,10.606,11.27,11.39,11.746,11.771,11.639,11.943,12.117,12.039,12.58,12.308,12.655,12.441,12.617,12.349,12.334,12.154,12.584,12.144,11.965,11.456,11.272,11.149,10.798,10.127,9.731,9.084,8.618,7.719,6.576,5.69
4,4.763,5.345,5.638,5.753,6.186,6.623,6.636,7.033,7.544,7.795,8.144,8.416,8.734,9.235,9.31,9.456,9.982,10.152,10.589,10.525,10.783,11.511,11.313,11.388,11.362,11.338,11.82,11.712,11.717,12.203,12.31,12.345,12.269,12.244,12.066,12.595,12.115,11.921,12.086,11.671,11.391,11.256,10.907,10.342,10.266,9.455,8.794,8.12,7.221,6.402,5.532
5,4.685,5.355,5.734,6.112,6.347,6.445,7.0,7.276,7.511,7.782,8.421,8.32,8.837,9.029,9.156,9.725,9.782,10.317,10.293,10.86,11.101,11.173,11.417,11.429,11.564,11.501,11.988,11.587,12.067,12.472,12.144,12.259,12.446,12.209,12.471,12.173,12.391,11.778,12.044,11.725,11.7,10.946,10.726,10.279,9.693,9.286,8.454,8.184,7.217,6.719,5.499
6,4.699,5.477,5.635,5.995,6.226,6.51,6.809,7.13,7.643,7.743,8.068,8.244,8.933,9.019,9.443,9.431,9.755,10.041,10.246,10.93,10.537,10.99,11.292,11.589,11.531,11.894,11.844,11.928,12.043,12.013,12.331,12.35,12.358,12.306,12.266,12.078,11.816,12.072,11.754,11.661,11.729,11.233,11.077,10.498,10.185,9.351,8.765,8.272,7.427,6.486,5.537
7,4.734,5.45,5.818,5.901,6.294,6.545,7.049,7.407,7.498,7.745,8.129,8.692,9.01,9.096,9.384,9.792,10.45,10.42,10.381,10.915,10.776,11.002,11.567,11.633,11.736,11.734,12.448,11.994,12.078,12.238,12.178,12.034,12.177,12.424,12.458,12.757,12.237,11.988,12.263,11.981,11.45,10.831,10.582,10.47,9.994,9.391,8.855,8.255,7.514,6.435,5.708
8,4.747,5.595,5.9,6.201,6.319,6.64,6.953,7.276,7.643,8.09,8.361,8.934,9.206,9.25,9.578,10.024,10.106,10.577,11.291,11.2,11.1,11.204,11.46,11.788,12.47,11.864,12.685,12.138,12.285,12.688,12.696,12.893,12.676,12.508,12.6,12.603,12.587,12.22,12.17,11.749,11.482,11.191,10.747,10.594,10.275,9.343,9.106,8.24,7.439,6.716,5.472
9,5.007,5.6,5.87,6.361,6.358,6.676,6.908,7.493,7.831,8.249,8.34,9.158,9.408,9.509,9.801,10.281,10.542,10.633,11.099,11.368,11.195,11.546,11.98,12.195,12.278,12.198,12.797,12.718,12.149,12.55,12.767,13.124,12.984,12.694,12.919,12.615,12.385,12.48,12.339,12.142,11.742,11.584,11.19,10.89,10.234,9.517,9.0,8.185,7.434,6.81,5.585
10,4.944,5.684,6.218,6.465,6.765,7.038,7.085,7.814,7.951,8.35,9.009,9.48,9.379,10.027,10.244,10.437,11.059,11.047,11.085,11.2,11.849,12.008,12.428,12.093,12.883,12.714,12.73,12.741,12.716,12.732,12.903,12.607,12.782,13.326,12.744,12.915,12.536,12.777,12.736,12.167,12.159,11.667,11.05,10.953,9.871,9.727,9.136,8.368,7.467,6.743,5.798
11,5.258,6.112,6.294,6.619,7.013,7.171,7.686,7.936,8.514,8.963,9.075,9.682,9.8,10.112,10.604,11.099,11.522,11.449,11.969,11.778,12.095,12.61,12.441,12.749,12.731,13.208,13.367,13.134,13.19,13.469,13.352,13.588,13.356,13.828,13.346,13.143,12.935,13.266,12.994,12.282,12.577,12.399,11.689,11.277,10.832,10.292,9.422,8.661,7.433,6.76,5.923
