lst,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0
0,11.961,12.195,11.502,11.7,11.698,11.634,11.472,11.585,11.607,11.209,11.45,11.624,11.116,11.143,11.468,11.2,10.96,10.95,10.733,10.66,10.852,11.019,10.382,10.555,10.493,10.372,10.353,10.169,10.624,10.144,10.464,10.135,9.958,10.015,9.895,9.889,10.061,10.11,9.862,9.711,9.556,9.503,9.519,9.459,9.698,9.626,9.324,9.313,9.202,9.066,1.383
1,10.614,11.32,11.124,11.227,10.752,10.582,10.949,10.787,10.73,10.407,10.402,10.44,10.821,10.67,10.413,10.465,10.283,10.409,10.237,9.977,9.801,9.867,9.878,9.662,9.809,9.626,9.538,9.548,9.704,9.37,9.318,9.504,9.43,9.328,9.273,9.306,8.814,9.129,8.872,9.019,9.148,8.845,8.941,9.134,8.723,8.939,8.83,8.821,8.788,8.713,1.35
2,10.451,10.402,10.697,10.453,10.142,10.329,10.28,10.149,10.27,10.264,10.236,10.069,9.991,9.988,10.272,10.052,10.003,9.906,9.453,9.647,9.587,9.732,9.706,9.386,9.117,9.022,9.186,9.172,8.879,9.078,9.218,8.883,8.693,8.789,8.729,8.675,8.869,8.579,8.432,8.634,8.659,8.587,8.43,8.39,8.247,8.152,8.209,8.223,8.384,8.106,1.331
3,10.217,10.17,10.206,10.131,10.048,10.15,10.142,9.958,9.782,9.893,9.852,9.959,9.802,9.818,9.783,9.48,9.534,9.609,9.37,9.274,9.238,9.408,9.057,9.002,8.984,9.037,8.995,8.949,8.806,8.841,8.965,8.595,8.697,8.653,8.518,8.429,8.567,8.366,8.361,8.399,8.143,8.151,8.179,8.289,8.219,8.116,8.49,8.215,8.088,8.191,1.298
4,9.97,10.039,9.861,10.144,10.061,9.998,9.974,9.667,9.844,9.624,9.786,9.888,9.661,9.739,9.72,9.653,9.753,9.316,9.436,9.428,9.369,9.24,8.795,9.045,8.798,8.912,8.86,8.89,8.595,8.739,8.631,8.747,8.455,8.801,8.563,8.63,8.474,8.171,8.206,8.431,8.256,8.367,8.323,8.254,8.071,8.171,8.133,8.044,8.057,8.072,1.266
5,9.918,10.169,9.982,10.097,10.041,9.935,9.784,10.068,9.995,9.686,9.615,9.679,9.43,9.547,9.804,9.429,9.638,9.205,9.045,9.233,9.184,8.869,9.156,9.146,8.856,8.879,8.903,9.032,8.719,8.446,8.658,8.647,8.615,8.526,8.324,8.627,8.231,8.204,8.331,8.149,8.408,7.982,8.219,8.03,8.074,7.939,8.177,7.85,8.113,7.731,1.257
6,10.23,9.991,10.175,10.009,10.233,9.944,9.968,9.732,10.017,9.692,9.842,9.307,9.453,9.795,9.766,9.571,9.352,9.276,9.106,9.302,8.901,9.108,9.15,9.18,8.785,8.901,8.81,8.566,8.648,8.559,8.526,8.404,8.723,8.497,8.508,8.521,8.627,8.122,8.231,8.22,8.386,8.212,8.074,8.467,8.172,8.187,8.26,8.254,7.995,7.933,1.291
7,10.554,10.439,10.271,10.01,10.077,10.253,9.946,9.768,9.771,9.558,9.593,9.715,9.574,10.145,9.755,9.496,9.707,9.649,9.319,9.48,9.216,9.249,8.992,8.838,8.975,8.99,8.702,9.011,8.951,8.833,8.876,8.906,8.783,8.379,8.398,8.746,8.365,8.344,8.426,8.275,8.211,8.185,8.355,8.37,8.202,7.891,7.998,8.108,8.226,7.856,1.253
8,10.395,10.428,10.387,10.343,10.485,10.29,9.974,10.249,10.178,10.066,9.906,10.141,9.987,9.991,10.059,10.051,9.86,9.617,9.704,9.685,9.67,9.298,9.401,9.668,8.972,9.256,9.288,9.181,9.176,9.104,8.783,8.904,9.079,9.171,8.861,8.654,8.748,8.884,8.616,8.51,8.479,8.53,8.525,8.34,8.406,8.213,8.398,8.181,8.395,8.235,1.335
