lst,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0
0,12.515,12.925,12.424,12.273,12.407,12.079,12.15,11.896,11.589,11.7,11.991,11.537,11.68,11.246,11.282,11.373,11.16,10.967,11.169,10.589,10.6,10.74,10.605,10.598,10.131,10.441,10.244,10.038,10.391,10.191,9.953,10.1,10.116,10.033,9.884,9.972,9.691,9.701,9.815,9.684,9.54,9.604,9.326,9.196,9.647,9.403,9.543,9.645,9.208,9.168,1.447
1,11.355,11.714,11.605,11.135,11.13,11.116,10.605,10.927,10.944,10.635,10.852,10.551,10.204,10.42,10.223,10.003,10.013,9.963,9.807,9.906,9.976,9.605,9.667,9.597,9.131,9.383,9.621,9.504,9.427,9.206,9.238,9.101,9.241,9.116,9.054,8.867,9.007,9.463,9.04,8.736,8.76,8.814,8.612,8.633,8.53,8.442,8.402,8.538,8.368,8.523,1.305
2,10.223,10.521,10.179,10.455,10.502,10.071,9.772,10.077,9.767,9.772,9.636,9.757,9.528,9.507,9.265,9.304,9.335,9.287,9.216,9.072,9.161,8.939,8.999,8.807,8.786,8.801,8.939,8.701,8.804,8.54,8.591,8.588,8.667,8.613,8.411,8.401,8.273,8.39,8.403,8.125,8.147,7.904,8.106,8.318,8.226,8.23,7.96,7.986,7.964,7.971,1.25
3,10.39,10.335,9.922,10.091,10.02,9.538,9.701,9.398,9.196,9.406,9.239,9.457,9.374,9.06,9.095,9.063,8.903,8.913,8.961,9.014,8.756,8.773,8.805,8.638,8.715,8.564,8.732,8.517,8.311,8.512,8.634,8.34,8.163,7.969,8.053,8.098,8.349,8.071,7.892,7.943,7.884,8.153,8.094,7.781,8.174,7.87,7.953,7.741,7.855,7.693,1.265
4,10.246,10.248,10.052,9.867,9.819,9.73,9.403,9.561,9.756,9.175,9.301,9.361,9.139,8.94,9.044,9.011,8.93,8.689,8.695,8.733,8.554,8.725,8.629,8.553,8.571,8.73,8.647,8.582,8.534,8.639,8.366,8.319,8.179,8.258,8.076,7.926,8.086,8.025,7.852,7.68,8.07,7.859,8.071,7.884,7.778,7.54,7.972,7.786,7.737,7.592,1.264
5,10.175,10.189,9.97,9.653,10.035,9.846,9.4,9.215,9.462,9.149,9.412,9.741,9.033,9.23,9.16,8.957,8.806,8.884,8.767,8.707,8.667,8.722,8.473,8.477,8.662,8.605,8.649,8.48,8.35,8.224,8.371,8.341,8.087,8.25,7.959,8.094,8.051,7.949,7.865,8.107,7.803,7.828,7.78,7.981,7.913,7.762,7.707,7.483,7.843,7.902,1.247
6,10.324,10.031,10.038,10.002,9.967,9.983,9.544,9.384,9.501,9.516,9.139,9.148,9.275,9.38,9.258,9.18,8.886,9.018,8.593,8.832,8.731,8.636,8.595,8.617,8.17,8.723,8.646,8.448,8.599,8.523,8.306,8.306,8.162,8.153,7.816,8.066,8.079,8.105,8.071,8.195,7.982,7.933,7.864,7.852,7.737,7.582,7.673,7.679,7.833,7.92,1.268
7,10.687,10.385,10.093,10.394,10.332,10.088,9.865,9.759,9.564,9.52,9.865,9.631,9.227,9.52,9.402,9.446,9.303,9.025,8.856,9.021,8.94,8.718,9.104,8.722,8.618,8.84,8.552,8.37,8.413,8.475,8.54,8.637,8.376,8.247,8.23,8.017,8.603,8.088,8.008,8.237,8.018,8.364,7.802,8.106,8.015,7.983,7.922,7.828,7.816,7.859,1.269
8,10.798,10.517,10.239,10.498,10.32,10.483,10.113,9.965,10.005,9.771,9.568,9.517,9.77,9.579,9.393,9.434,9.332,9.304,9.198,9.326,9.237,9.046,9.136,8.886,8.838,8.822,8.84,8.528,8.787,8.636,8.739,8.518,8.556,8.461,8.647,8.111,8.588,8.498,8.39,8.114,8.222,8.056,8.349,8.093,8.192,8.3,8.31,7.997,7.941,7.941,1.352
