,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0.5,2.228,2.631,2.92,3.145,3.393,3.683,3.983,4.319,4.645,4.982,5.309,5.64,5.945,6.244,6.527,6.811,7.123,7.442,7.721,8.018,8.308,8.61,8.885,9.157,9.412,9.659,9.868,10.088,10.252,10.424,10.555,10.662,10.751,10.812,10.84,10.855,10.861,10.783,10.707,10.565,10.394,10.182,9.899,9.577,9.183,8.706,8.175,7.556,6.863,6.095
1.5,2.07,2.44,2.7,2.896,3.112,3.369,3.641,3.951,4.258,4.577,4.888,5.198,5.48,5.752,6.01,6.264,6.54,6.82,7.066,7.326,7.578,7.841,8.077,8.312,8.533,8.747,8.928,9.121,9.262,9.411,9.523,9.613,9.687,9.735,9.752,9.757,9.747,9.674,9.606,9.466,9.301,9.098,8.833,8.533,8.172,7.737,7.257,6.701,6.082,5.401
2.5,2.04,2.402,2.655,2.842,3.049,3.295,3.559,3.865,4.168,4.486,4.794,5.1,5.377,5.643,5.894,6.139,6.403,6.674,6.909,7.158,7.399,7.648,7.873,8.095,8.303,8.504,8.673,8.851,8.979,9.113,9.211,9.286,9.344,9.376,9.379,9.369,9.343,9.258,9.179,9.028,8.853,8.644,8.375,8.075,7.718,7.293,6.828,6.295,5.706,5.06
3.5,2.043,2.405,2.656,2.839,3.042,3.287,3.55,3.856,4.16,4.479,4.787,5.093,5.367,5.631,5.878,6.117,6.374,6.637,6.865,7.106,7.337,7.577,7.791,8.002,8.199,8.389,8.546,8.712,8.828,8.95,9.036,9.099,9.145,9.167,9.159,9.138,9.101,9.009,8.923,8.766,8.588,8.376,8.107,7.809,7.457,7.041,6.587,6.068,5.497,4.874
4.5,2.056,2.418,2.667,2.849,3.051,3.295,3.559,3.866,4.172,4.491,4.798,5.102,5.374,5.634,5.876,6.111,6.36,6.615,6.836,7.068,7.291,7.522,7.726,7.927,8.115,8.295,8.443,8.6,8.708,8.823,8.902,8.958,8.997,9.013,9.0,8.975,8.933,8.838,8.751,8.594,8.416,8.205,7.939,7.645,7.299,6.89,6.445,5.937,5.379,4.769
5.5,2.074,2.435,2.682,2.863,3.064,3.31,3.576,3.885,4.192,4.513,4.82,5.124,5.395,5.653,5.895,6.128,6.376,6.628,6.847,7.077,7.297,7.525,7.726,7.924,8.108,8.285,8.429,8.582,8.686,8.796,8.87,8.921,8.956,8.967,8.95,8.921,8.876,8.779,8.689,8.53,8.351,8.139,7.874,7.58,7.234,6.828,6.385,5.881,5.328,4.724
6.5,2.101,2.463,2.71,2.891,3.095,3.344,3.614,3.928,4.241,4.566,4.879,5.186,5.46,5.722,5.967,6.204,6.455,6.71,6.93,7.162,7.383,7.61,7.811,8.008,8.19,8.363,8.504,8.653,8.751,8.855,8.923,8.969,8.999,9.005,8.984,8.952,8.903,8.803,8.712,8.55,8.368,8.155,7.887,7.592,7.244,6.836,6.392,5.886,5.332,4.727
7.5,2.145,2.513,2.764,2.947,3.154,3.407,3.683,4.005,4.327,4.661,4.981,5.295,5.575,5.842,6.093,6.335,6.591,6.85,7.071,7.303,7.524,7.751,7.949,8.143,8.322,8.492,8.627,8.77,8.862,8.961,9.024,9.066,9.094,9.098,9.075,9.041,8.99,8.889,8.798,8.634,8.451,8.235,7.965,7.666,7.314,6.901,6.452,5.941,5.381,4.771
8.5,2.214,2.593,2.851,3.039,3.251,3.51,3.795,4.127,4.46,4.806,5.137,5.461,5.749,6.024,6.281,6.53,6.793,7.056,7.279,7.513,7.735,7.963,8.161,8.355,8.533,8.702,8.835,8.977,9.066,9.164,9.226,9.268,9.296,9.3,9.277,9.243,9.191,9.089,8.998,8.83,8.642,8.421,8.143,7.836,7.475,7.05,6.589,6.065,5.491,4.868
9.5,2.314,2.708,2.974,3.168,3.385,3.652,3.946,4.291,4.637,4.997,5.341,5.676,5.973,6.255,6.518,6.771,7.04,7.306,7.529,7.763,7.985,8.211,8.407,8.599,8.775,8.94,9.07,9.208,9.292,9.384,9.441,9.479,9.502,9.502,9.472,9.431,9.369,9.26,9.161,8.983,8.783,8.55,8.26,7.941,7.567,7.13,6.657,6.122,5.54,4.909
10.5,2.448,2.858,3.134,3.332,3.554,3.831,4.136,4.495,4.857,5.233,5.593,5.941,6.247,6.536,6.803,7.059,7.332,7.603,7.825,8.059,8.279,8.503,8.696,8.885,9.057,9.219,9.345,9.478,9.557,9.644,9.695,9.727,9.744,9.736,9.699,9.648,9.573,9.455,9.351,9.16,8.949,8.704,8.403,8.072,7.687,7.24,6.758,6.216,5.626,4.99
11.5,2.63,3.062,3.349,3.553,3.784,4.073,4.394,4.774,5.159,5.561,5.945,6.315,6.637,6.939,7.216,7.48,7.763,8.045,8.273,8.511,8.733,8.959,9.151,9.341,9.513,9.676,9.801,9.935,10.012,10.098,10.147,10.176,10.189,10.176,10.132,10.072,9.983,9.858,9.751,9.545,9.32,9.06,8.742,8.395,7.992,7.525,7.024,6.461,5.851,5.192
12.5,2.842,3.299,3.599,3.81,4.054,4.362,4.706,5.114,5.527,5.963,6.378,6.776,7.119,7.439,7.731,8.008,8.306,8.601,8.836,9.079,9.304,9.531,9.723,9.912,10.082,10.242,10.362,10.492,10.561,10.641,10.681,10.701,10.704,10.68,10.622,10.548,10.437,10.301,10.188,9.961,9.715,9.436,9.096,8.726,8.3,7.809,7.285,6.698,6.064,5.382
13.5,3.055,3.535,3.848,4.073,4.336,4.672,5.045,5.487,5.936,6.409,6.86,7.291,7.661,8.002,8.315,8.612,8.932,9.245,9.49,9.743,9.973,10.204,10.396,10.583,10.749,10.903,11.012,11.131,11.183,11.246,11.269,11.269,11.254,11.21,11.131,11.035,10.9,10.745,10.62,10.37,10.105,9.806,9.445,9.056,8.611,8.1,7.555,6.948,6.293,5.588
14.5,3.266,3.768,4.095,4.335,4.624,4.993,5.4,5.878,6.361,6.87,7.355,7.818,8.213,8.577,8.91,9.228,9.569,9.9,10.155,10.417,10.652,10.885,11.073,11.255,11.41,11.55,11.64,11.738,11.765,11.805,11.803,11.78,11.742,11.676,11.575,11.461,11.309,11.136,10.997,10.736,10.461,10.153,9.784,9.387,8.933,8.412,7.856,7.234,6.561,5.834
