,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0.5,2.37,2.928,3.385,3.702,3.94,4.183,4.476,4.839,5.088,5.112,4.968,4.873,4.888,4.976,5.079,5.407,5.884,6.222,6.492,6.787,7.079,7.38,7.668,7.956,8.221,8.469,8.678,8.9,9.08,9.278,9.464,9.643,9.797,9.92,10.008,10.08,10.126,10.123,10.123,10.023,9.883,9.689,9.422,9.115,8.741,8.29,7.789,7.205,6.555,5.838
1.5,2.084,2.565,2.952,3.212,3.403,3.597,3.835,4.122,4.293,4.262,4.099,3.998,4.003,4.076,4.165,4.431,4.807,5.064,5.265,5.484,5.698,5.915,6.118,6.317,6.496,6.662,6.801,6.954,7.077,7.211,7.327,7.427,7.5,7.543,7.556,7.556,7.533,7.479,7.433,7.314,7.17,6.99,6.762,6.511,6.216,5.871,5.495,5.067,4.595,4.083
2.5,2.068,2.542,2.922,3.174,3.356,3.541,3.768,4.041,4.197,4.15,3.975,3.868,3.868,3.934,4.01,4.256,4.613,4.858,5.044,5.244,5.436,5.629,5.807,5.979,6.132,6.273,6.39,6.522,6.626,6.74,6.835,6.912,6.961,6.979,6.967,6.94,6.894,6.815,6.744,6.61,6.454,6.269,6.042,5.797,5.515,5.191,4.843,4.451,4.025,3.566
3.5,2.082,2.554,2.928,3.17,3.34,3.514,3.729,3.987,4.119,4.044,3.845,3.721,3.708,3.762,3.829,4.068,4.41,4.633,4.8,4.98,5.153,5.327,5.486,5.64,5.776,5.902,6.008,6.13,6.231,6.344,6.439,6.516,6.564,6.581,6.568,6.541,6.497,6.42,6.349,6.222,6.074,5.897,5.681,5.446,5.177,4.869,4.539,4.168,3.767,3.334
4.5,2.088,2.556,2.922,3.155,3.315,3.48,3.686,3.931,4.042,3.944,3.729,3.599,3.586,3.641,3.72,3.973,4.313,4.525,4.685,4.862,5.034,5.207,5.365,5.519,5.655,5.782,5.892,6.02,6.127,6.248,6.35,6.431,6.48,6.496,6.48,6.449,6.4,6.318,6.24,6.105,5.95,5.765,5.542,5.3,5.026,4.715,4.384,4.018,3.623,3.201
5.5,2.097,2.564,2.928,3.158,3.317,3.482,3.688,3.928,4.031,3.925,3.711,3.59,3.59,3.661,3.763,4.044,4.393,4.605,4.77,4.954,5.133,5.314,5.478,5.636,5.775,5.904,6.014,6.142,6.248,6.364,6.458,6.528,6.563,6.563,6.53,6.483,6.418,6.319,6.225,6.075,5.905,5.707,5.472,5.223,4.944,4.631,4.303,3.942,3.555,3.145
6.5,2.125,2.597,2.965,3.198,3.36,3.53,3.742,3.986,4.091,3.988,3.781,3.673,3.686,3.773,3.9,4.209,4.57,4.785,4.956,5.15,5.339,5.529,5.7,5.862,6.004,6.134,6.244,6.371,6.473,6.584,6.67,6.732,6.758,6.75,6.711,6.658,6.587,6.485,6.39,6.235,6.06,5.857,5.618,5.364,5.081,4.766,4.436,4.071,3.68,3.264
7.5,2.196,2.684,3.065,3.307,3.477,3.655,3.876,4.132,4.246,4.151,3.95,3.846,3.865,3.959,4.101,4.434,4.808,5.024,5.2,5.401,5.597,5.795,5.971,6.137,6.281,6.41,6.517,6.642,6.74,6.848,6.93,6.988,7.012,7.002,6.962,6.91,6.838,6.738,6.647,6.49,6.311,6.102,5.855,5.593,5.302,4.977,4.637,4.26,3.857,3.426
8.5,2.329,2.848,3.254,3.514,3.696,3.886,4.122,4.399,4.534,4.449,4.247,4.139,4.155,4.248,4.397,4.753,5.148,5.37,5.552,5.762,5.969,6.177,6.363,6.537,6.686,6.819,6.927,7.054,7.154,7.265,7.351,7.413,7.441,7.436,7.401,7.354,7.283,7.185,7.098,6.936,6.75,6.531,6.271,5.994,5.685,5.34,4.978,4.579,4.149,3.691
